User_	AvailDate_	AvailArray_	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17
User6	4/20/2013		True	False	False	True	False	False	False	True	True	True
User5	4/18/2013		False	True	True	False	False	True	True	False	False	True
User6	4/15/2013		False	True	False	True	False	False	False	True	True	True
User5	4/16/2013		True	True	False	False	True	True	True	False	False	True
User6	4/18/2013		False	False	False	False	False	False	False	False	False	False
User5	4/19/2013		False	False	False	False	False	False	False	False	False	False
User6	4/16/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/20/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/21/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/22/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/23/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/24/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/25/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/26/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/27/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/28/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/29/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/30/2013		True	True	True	True	True	True	True	True	True	True
Dave	1/5/2013		True	True	True	True	True	True	True	True	True	True
Dave	2/5/2013		True	True	True	True	True	True	True	True	True	True
Dave	3/5/2013		True	True	True	True	True	True	True	True	True	True
Dave	4/5/2013		True	True	True	True	True	True	True	True	True	True
Dave	5/5/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/17/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/17/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/20/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/21/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/22/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/23/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/24/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/25/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/26/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/27/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/28/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/29/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/30/2013		True	True	True	True	True	True	True	True	True	True
Judy	1/5/2013		True	True	True	True	True	True	True	True	True	True
Judy	2/5/2013		True	True	True	True	True	True	True	True	True	True
Judy	3/5/2013		True	True	True	True	True	True	True	True	True	True
Judy	4/5/2013		True	True	True	True	True	True	True	True	True	True
Judy	5/5/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/18/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/19/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/18/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/19/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/20/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/21/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/22/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/23/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/24/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/25/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/26/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/27/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/28/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/29/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/30/2013		True	True	True	True	True	True	True	True	True	True
Mary	4/5/2013		True	True	True	True	True	True	True	True	True	True
Mary	5/5/2013		True	True	True	True	True	True	True	True	True	True
George	4/19/2013		True	True	True	True	True	True	True	True	True	True
George	4/19/2013		True	True	True	True	True	True	True	True	True	True
George	4/20/2013		True	True	True	True	True	True	True	True	True	True
George	4/21/2013		True	True	True	True	True	True	True	True	True	True
George	4/22/2013		True	True	True	True	True	True	True	True	True	True
George	4/23/2013		True	True	True	True	True	True	True	True	True	True
George	4/24/2013		True	True	True	True	True	True	True	True	True	True
George	4/25/2013		True	True	True	True	True	True	True	True	True	True
George	4/26/2013		True	True	True	True	True	True	True	True	True	True
George	4/27/2013		True	True	True	True	True	True	True	True	True	True
George	4/28/2013		True	True	True	True	True	True	True	True	True	True
George	4/29/2013		True	True	True	True	True	True	True	True	True	True
George	4/30/2013		True	True	True	True	True	True	True	True	True	True
George	4/5/2013		True	True	True	True	True	True	True	True	True	True
George	5/5/2013		True	True	True	True	True	True	True	True	True	True
